measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Lithuania,Female,35 to 39,Road injuries,Number,2014,3.642761785849201,4.712321501713674,2.7372007841050134
Deaths,Lithuania,Male,40 to 44,Road injuries,Number,2014,19.377014873520526,23.06539085059637,16.25233477453641
Deaths,Lithuania,Female,40 to 44,Road injuries,Number,2014,5.184825382005221,6.425756032779043,4.140845588401173
Deaths,Lithuania,Male,45 to 49,Road injuries,Number,2014,20.213387011128606,24.16963400930372,16.641414956766056
Deaths,Lithuania,Female,45 to 49,Road injuries,Number,2014,5.219231226404309,6.724693728160771,4.094367345930129
Deaths,Lithuania,Male,50 to 54,Road injuries,Number,2014,25.092450851005207,29.59815865003474,21.35773815921742
Deaths,Lithuania,Female,50 to 54,Road injuries,Number,2014,6.755804881358324,8.559964760995337,5.160043416344274
Deaths,Lithuania,Male,55 to 59,Road injuries,Number,2014,19.282401955044545,22.75905737773686,15.905894465223087
Deaths,Lithuania,Female,55 to 59,Road injuries,Number,2014,6.976505816693737,8.701258372251798,5.405479102427604
Deaths,Lithuania,Male,60 to 64,Road injuries,Number,2014,17.500383858109803,20.653973963393593,14.723721442166093
Deaths,Lithuania,Female,60 to 64,Road injuries,Number,2014,6.728456256611497,8.435969044321903,5.31438652839635
Deaths,Lithuania,Male,65 to 69,Road injuries,Number,2014,12.485361527208577,15.035344657890517,10.185279868276504
Deaths,Lithuania,Female,65 to 69,Road injuries,Number,2014,6.88745574959003,8.39354660757113,5.519018766091549
Deaths,Lithuania,Male,70 to 74,Road injuries,Number,2014,11.074573144459592,13.446071776781917,8.973145729557595
Deaths,Lithuania,Female,70 to 74,Road injuries,Number,2014,7.931197680391534,9.897657688066635,6.270830263916293
Deaths,Lithuania,Male,75 to 79,Road injuries,Number,2014,9.546799677213885,11.654971765275093,7.708857188252881
Deaths,Lithuania,Female,75 to 79,Road injuries,Number,2014,8.711883854634143,10.751206472177822,6.929221549904294
Deaths,Lithuania,Male,80 plus,Road injuries,Number,2014,10.33364780120877,12.132414566426961,8.644708532332027
Deaths,Lithuania,Female,80 plus,Road injuries,Number,2014,13.305135921274008,15.99614271387884,11.027166120720132
Deaths,Lithuania,Male,All Ages,Road injuries,Number,2014,254.08724575963626,267.823824385046,240.95850185694576
Deaths,Lithuania,Female,All Ages,Road injuries,Number,2014,91.06010579589221,97.78100771251384,84.48227510198994
Deaths,Ukraine,Male,20 to 24,Road injuries,Number,2014,493.63184634086446,563.3170539689296,427.0975467211122
Deaths,Ukraine,Female,20 to 24,Road injuries,Number,2014,93.24016176134178,107.59074454526967,79.70936365919972
Deaths,Ukraine,Male,25 to 29,Road injuries,Number,2014,578.0591887397125,654.3095597138158,504.71269472459113
Deaths,Ukraine,Female,25 to 29,Road injuries,Number,2014,94.68485733614683,111.1305790358125,81.55549250494218
Deaths,Ukraine,Male,30 to 34,Road injuries,Number,2014,506.7042108721542,579.1729217537248,441.9991452209289
Deaths,Ukraine,Female,30 to 34,Road injuries,Number,2014,92.61516711135388,107.26314195443,79.9513300340356
Deaths,Ukraine,Male,35 to 39,Road injuries,Number,2014,442.1587377005642,510.6413469031135,379.8706846915725
Deaths,Ukraine,Female,35 to 39,Road injuries,Number,2014,95.62282839157743,112.02935429942981,82.11382961770856
Deaths,Ukraine,Male,40 to 44,Road injuries,Number,2014,383.65304737396553,444.0164926795052,331.72929391722823
Deaths,Ukraine,Female,40 to 44,Road injuries,Number,2014,88.96016731370021,102.97871585690724,76.03597036372636
Deaths,Ukraine,Male,45 to 49,Road injuries,Number,2014,326.9839938386283,375.8532228605284,286.9077806448828
Deaths,Ukraine,Female,45 to 49,Road injuries,Number,2014,81.98328990035328,95.21747575803623,70.82775331293695
Deaths,Ukraine,Male,50 to 54,Road injuries,Number,2014,325.02577109568756,371.4989258006067,287.6636113158188
Deaths,Ukraine,Female,50 to 54,Road injuries,Number,2014,99.43865729872765,116.13794878745415,87.17513128001868
Deaths,Ukraine,Male,55 to 59,Road injuries,Number,2014,273.5248986849311,310.10076822457563,242.50871555474646
